THEREDDKING-2,,,,,,,,,,,,
2020 TAGS,TAGS,2020,BOTH,0,,,,,,,,
REGION,"ST,NT,WT,GU",,,,,,,,,,,
3,0,10,11,12,13,14,,,,,,
-1_SCY,-2_SCY,-3_SCY,0,1_SCY,2_SCY,3_SCY,-3_LCM,-2_LCM,-1_LCM,1_LCM,2_LCM,3_LCM
29.29,26.29,24.89,50 Free,00:29.1,00:25.7,00:23.1,00:28.4,00:29.6,00:33.1,00:32.6,00:28.8,00:26.5
01:04.4,56.89,53.99,100 Free,01:03.9,00:55.4,00:50.3,01:01.0,01:04.5,01:12.6,01:11.2,01:03.0,00:57.0
02:19.4,02:03.9,01:56.6,200 Free,02:17.9,02:01.5,01:49.4,02:13.1,02:19.6,02:36.2,02:35.8,02:16.5,02:04.7
06:05.3,05:24.9,05:13.2,400/500 Free,06:04.0,05:18.5,04:54.1,04:40.7,04:53.8,05:28.6,05:20.4,04:49.4,04:25.6
,,10:40.7,800/1000 Free,,,10:07.9,09:33.5,,,,,09:08.3
,,17:55.9,1500/1650 Free,,,17:02.2,18:27.6,,,,,17:42.3
33.79,29.79,,50 Back,00:34.1,00:29.9,,,00:34.5,00:38.8,00:39.2,00:33.5,
01:13.1,01:03.8,59.99,100 Back,01:13.2,01:03.7,00:56.6,01:10.0,01:13.8,01:23.3,01:23.7,01:12.8,01:05.1
,02:17.5,02:10.1,200 Back,,02:16.6,02:01.8,02:30.6,02:37.5,,,02:36.5,02:21.0
38.59,33.69,,50 Breast,00:38.9,00:33.0,,,00:38.4,00:44.2,00:44.1,00:37.5,
01:23.7,01:12.9,01:08.7,100 Breast,01:24.4,01:11.3,01:03.0,01:19.4,01:23.8,01:37.4,01:37.2,01:21.8,01:13.6
,02:38.6,02:29.9,200 Breast,,02:34.7,02:17.6,02:53.7,03:01.5,,,02:57.2,02:40.4
32.29,28.69,,50 Fly,00:32.4,00:28.2,,,00:31.9,00:36.1,00:36.5,00:31.4,
01:13.8,01:03.4,59.39,100 Fly,01:13.5,01:02.7,00:55.0,01:07.5,01:11.7,01:23.6,01:22.9,01:10.5,01:02.5
,02:19.9,02:12.5,200 Fly,,02:20.7,02:02.3,02:29.6,02:43.7,,,02:40.1,02:20.7
01:13.7,01:05.2,,100 IM,01:13.9,01:03.9,,,,,,,
02:17.9,02:19.9,02:13.6,200 IM,02:37.3,02:17.9,02:03.4,02:30.8,02:37.9,02:59.0,02:56.1,02:36.5,02:20.2
,,04:41.2,400 IM,,,04:23.4,05:19.2,,,,,05:01.3
