THEREDDKING-2,,,,,,,,,,,,
2020 TAGS,TAGS,2020,BOTH,0,,,,,,,,
REGION,"ST,NT,WT,GU",,,,,,,,,,,
3,0,10,11,12,13,14,,,,,,
-1_SCY,-2_SCY,-3_SCY,0,1_SCY,2_SCY,3_SCY,-3_LCM,-2_LCM,-1_LCM,1_LCM,2_LCM,3_LCM
29.29,26.29,24.89,50 Free,00:29.09,00:25.69,00:23.09,00:28.39,00:29.59,00:33.09,00:32.59,00:28.79,00:26.49
1:04.39,56.89,53.99,100 Free,01:03.89,00:55.39,00:50.29,01:00.99,01:04.49,01:12.59,01:11.19,01:02.99,00:56.99
2:19.39,2:03.89,1:56.59,200 Free,02:17.89,02:01.49,01:49.39,02:13.09,02:19.59,02:36.19,02:35.79,02:16.49,02:04.69
6:05.29,5:24.89,5:13.19,400/500 Free,06:03.99,05:18.49,04:54.09,04:40.69,04:53.79,05:28.59,05:20.39,04:49.39,04:25.59
,,10:40.69,800/1000 Free,,,10:07.89,09:33.49,,,,,09:08.29
,,17:55.89,1500/1650 Free,,,17:02.19,18:27.59,,,,,17:42.29
33.79,29.79,,50 Back,00:34.09,00:29.89,,,00:34.49,00:38.79,00:39.19,00:33.49,
1:13.09,1:03.79,59.99,100 Back,01:13.19,01:03.69,00:56.59,01:09.99,01:13.79,01:23.29,01:23.69,01:12.79,01:05.09
,2:17.49,2:10.09,200 Back,,02:16.59,02:01.79,02:30.59,02:37.49,,,02:36.49,02:20.99
38.59,33.69,,50 Breast,00:38.89,00:32.99,,,00:38.39,00:44.19,00:44.09,00:37.49,
1:23.69,1:12.89,1:08.69,100 Breast,01:24.39,01:11.29,01:02.99,01:19.39,01:23.79,01:37.39,01:37.19,01:21.79,01:13.59
,2:38.59,2:29.89,200 Breast,,02:34.69,02:17.59,02:53.69,03:01.49,,,02:57.19,02:40.39
32.29,28.69,,50 Fly,00:32.39,00:28.19,,,00:31.89,00:36.09,00:36.49,00:31.39,
1:13.79,1:03.39,59.39,100 Fly,01:13.49,01:02.69,00:54.99,01:07.49,01:11.69,01:23.59,01:22.89,01:10.49,01:02.49
,2:19.89,2:12.49,200 Fly,,02:20.69,02:02.29,02:29.59,02:43.69,,,02:40.09,02:20.69
1:13.69,1:05.19,,100 IM,01:13.89,01:03.89,,,,,,,
2:17.89,2:19.89,2:13.59,200 IM,02:37.29,02:17.89,02:03.39,02:30.79,02:37.89,02:58.99,02:56.09,02:36.49,02:20.19
,,4:41.19,400 IM,,,04:23.39,05:19.19,,,,,05:01.29
