THEREDDKING-2,,,,,,,,,,,,
2020 TAGS BONUS,TAGS-B,2020,BOTH,0,,,,,,,,
REGION,"ST,NT,WT,GU",,,,,,,,,,,
3,0,10,11,12,13,14,,,,,,
-3_SCY,-2_SCY,-1_SCY,0,1_SCY,2_SCY,3_SCY,-3_LCM,-2_LCM,-1_LCM,1_LCM,2_LCM,3_LCM
00:25.09,00:26.49,00:29.49,50 Free,00:29.29,00:25.89,00:23.29,00:28.59,00:29.79,00:33.29,00:32.79,00:28.99,00:26.69
00:54.29,00:57.19,01:04.79,100 Free,01:04.29,00:55.69,00:50.59,01:01.29,01:04.89,01:12.99,01:11.59,01:03.39,00:57.29
01:57.19,02:04.59,02:20.09,200 Free,02:18.59,02:02.09,01:49.99,02:13.79,02:20.29,02:36.99,02:36.59,02:17.19,02:05.39
05:14.79,05:26.59,06:07.19,400/500 Free,06:05.89,05:20.09,04:55.59,04:42.09,04:55.29,05:30.29,05:21.99,04:50.89,04:26.99
10:43.89,,,800/1000 Free,,,10:10.99,09:36.39,,,,,09:11.09
18:01.29,,,1500/1650 Free,,,17:07.39,18:33.19,,,,,17:47.69
,00:29.99,00:33.99,50 Back,00:34.29,00:30.09,,,00:34.69,00:38.99,00:39.39,00:33.69,
01:00.29,01:04.19,01:13.49,100 Back,01:13.59,01:04.09,00:56.89,01:10.39,01:14.19,01:23.79,01:24.19,01:13.19,01:05.49
02:10.79,02:18.19,,200 Back,,02:17.29,02:02.39,02:31.39,02:38.29,,,02:37.29,02:21.69
,00:33.89,00:38.79,50 Breast,00:39.09,00:33.19,,,00:38.59,00:44.49,00:44.39,00:37.69,
01:09.09,01:13.29,01:24.19,100 Breast,01:24.89,01:11.69,01:03.39,01:19.79,01:24.29,01:37.89,01:37.69,01:22.19,01:13.99
02:30.69,02:39.39,,200 Breast,,02:35.49,02:18.29,02:54.59,03:02.39,,,02:58.09,02:41.19
,00:28.89,00:32.49,50 Fly,00:32.59,00:28.39,,,00:32.09,00:36.29,00:36.69,00:31.59,
00:59.69,01:03.79,01:14.19,100 Fly,01:13.89,01:03.09,00:55.29,01:07.89,01:12.09,01:24.09,01:23.39,01:10.89,01:02.89
02:13.19,02:20.59,,200 Fly,,02:21.39,02:02.99,02:30.39,02:44.59,,,02:40.89,02:21.39
,01:05.59,01:14.09,100 IM,01:14.29,01:04.29,,,,,,,
02:14.29,02:20.59,02:38.79,200 IM,02:38.09,02:18.59,02:04.09,02:31.59,02:38.69,02:59.89,02:56.99,02:37.29,02:20.89
04:42.59,,,400 IM,,,04:24.79,05:20.79,,,,,05:02.79
