THEREDDKING-2,,,,,,,,,,,,,,,,
2020 STAGS,STAGS,2020,BOTH,0,,,,,,,,,,,,
REGION,ST,,,,,,,,,,,,,,,
4,0,10,11,12,13,14,15,18,,,,,,,,
-1_SCY,-2_SCY,-3_SCY,-4_SCY,0,1_SCY,2_SCY,3_SCY,4_SCY,-1_LCM,-2_LCM,-3_LCM,-4_LCM,1_LCM,2_LCM,3_LCM,4_LCM
31.39,27.79,26.09,25.69,50 Free,30.99,27.69,24.29,23.19,35.59,31.19,29.79,29.69,35.49,31.19,28.19,26.89
1:09.99,1:00.19,56.79,55.69,100 Free,1:09.69,1:00.89,52.89,49.99,1:20.59,1:08.19,1:04.79,1:04.29,1:19.89,1:08.79,1:00.39,58.49
2:34.59,2:10.89,2:03.69,2:01.69,200 Free,2:29.39,2:13.49,1:57.79,1:50.89,2:56.29,2:28.29,2:20.69,2:20.49,2:50.79,2:32.49,2:13.89,2:08.29
6:44.89,5:56.99,5:35.09,5:25.79,400/500 Free,6:37.39,5:57.69,5:21.79,5:02.79,6:05.39,5:19.79,5:02.49,4:59.29,5:59.59,5:21.89,4:47.39,4:39.59
,,,,800/1000 Free,,,,,,11:31.59,10:47.99,10:35.39,,11:18.59,10:22.19,10:00.39
,21:20.59,20:02.99,19:47.29,1500/1650 Free,,20:52.99,19:07.59,18:30.39,,22:04.99,20:39.79,20:20.49,,21:37.39,19:48.39,18:59.09
36.69,32.29,,,50 Back,37.09,32.29,,,42.89,37.39,,,42.99,37.49,0,0
1:19.29,1:09.59,1:03.49,1:02.09,100 Back,1:19.19,1:09.29,1:01.19,57.09,1:32.69,1:19.49,1:15.19,1:15.19,1:31.49,1:21.49,1:12.29,1:08.89
,2:30.19,2:18.79,2:19.99,200 Back,,2:27.99,2:14.69,2:08.49,,2:51.59,2:39.79,2:42.09,,2:52.19,2:35.19,2:28.89
41.79,36.89,,,50 Breast,40.99,36.19,,,47.49,41.99,,,46.99,41.59,0,0
1:31.89,1:20.39,1:14.29,1:12.99,100 Breast,1:30.19,1:18.39,1:09.79,1:04.49,1:46.29,1:33.39,1:26.59,1:25.39,1:44.19,1:30.39,1:21.29,1:16.99
,2:54.09,2:41.19,2:37.49,200 Breast,,2:47.09,2:32.89,2:24.09,,3:19.49,3:08.49,3:05.39,,3:12.59,2:56.79,2:48.39
36.19,30.59,,,50 Fly,35.39,30.89,,,40.99,34.09,,,40.19,34.49,,
1:24.09,1:09.09,1:03.29,1:01.69,100 Fly,1:23.49,1:09.59,59.79,55.49,1:35.99,1:18.89,1:12.59,1:12.69,1:34.99,1:18.59,1:07.69,1:03.99
,2:34.99,2:25.79,2:22.89,200 Fly,,2:31.39,2:15.69,2:09.79,,2:55.59,2:45.69,2:41.39,,2:53.19,2:36.19,2:27.99
1:20.79,1:10.39,,,100 IM,1:19.49,1:09.09,,,,,,,,,,
2:52.69,2:30.89,2:21.99,2:20.09,200 IM,2:50.99,2:30.89,2:13.29,2:05.19,3:17.09,2:53.99,2:42.09,2:43.59,3:15.39,2:53.89,2:33.39,2:26.29
,5:02.99,5:02.99,5:06.49,400 IM,,4:51.99,4:51.99,4:42.09,,,5:49.19,5:49.69,,,5:36.59,5:20.59
